PARTY_TYPE_DESC,GENDER_CODE,INGRESOS_SAS,STREET_STATE_NAME,STREET_STATE_CODE,OCCUPATION_DESC,INDUSTRY_CODE,TOT_TXN,NO_TXN,TOT_CR,TOT_DB,TOT_EFE,TOT_ELE,ORIGEN_FONDOS
0,0,2519,24,63001.0,3,7020,11936,30,10556,0,1990000.0,655,7684
0,1,2519,13,25377.0,3,7020,13209,184,11995,0,4646500.0,655,7095
0,0,2519,14,11001.0,1,10,13147,157,11751,0,1600000.0,655,7524
0,0,2519,14,11001.0,3,81,12326,72,11096,0,11260000.0,655,5017
0,0,2519,14,11001.0,1,10,12480,51,11547,0,15664400.0,655,6001
0,0,2519,14,11001.0,1,10,12894,74,11738,0,14000000.0,655,6089
0,1,2519,25,66001.0,3,90,10305,9,8835,0,3000000.0,655,175
0,0,2519,14,11001.0,1,10,12720,146,11514,0,3240000.0,655,7462
0,1,2519,25,66001.0,3,122,10965,7,9790,0,5450000.0,655,3241
0,1,2519,25,66001.0,3,8299,12417,95,11244,0,10340000.0,655,7705
0,1,2519,28,73001.0,3,8622,10989,30,9988,0,8200000.0,655,6990
0,0,2519,14,11001.0,1,10,13068,12,11940,0,37500000.0,655,5470
0,0,2519,14,11001.0,1,10,12235,21,11125,0,5260000.0,655,973
0,1,2519,14,11001.0,1,10,12828,50,11719,0,14220000.0,655,8002
0,0,2519,14,11001.0,1,10,12626,369,11415,0,1016300.0,655,5470
0,1,2519,14,11001.0,1,10,12037,85,10783,0,1910000.0,655,386
0,1,2519,25,66170.0,3,90,12636,37,11148,0,1500000.0,655,98
0,1,2519,25,66170.0,1,10,12496,12,8683,0,12640000.0,655,8002
0,1,2519,25,66001.0,5,9820,10618,24,9876,0,3450000.0,655,3825
0,1,2519,8,85001.0,2,9820,8913,24,7803,0,2140000.0,655,8002
0,1,2519,14,11001.0,3,90,13276,153,12123,0,23500000.0,655,5337
0,1,2519,14,11001.0,3,9002,12736,127,11309,0,14740000.0,655,8387
0,0,2519,14,11001.0,3,4723,12675,124,11188,0,3000000.0,655,3547
0,1,2519,14,11001.0,0,9820,11567,103,10483,0,3590000.0,655,543
0,1,2519,14,11001.0,3,7310,12446,74,11168,0,7750000.0,655,7826
0,0,2519,14,11001.0,3,4642,12259,19,11052,0,26040000.0,655,7196
0,0,2519,14,11001.0,1,10,12448,155,11276,0,5204800.0,655,2623
0,1,2519,13,25754.0,2,9820,11852,64,10711,0,3655000.0,655,7350
0,1,2519,25,66001.0,3,90,13037,14,12020,0,3870000.0,655,8002
0,1,2519,25,66001.0,3,90,12706,17,11138,0,14000000.0,655,112
0,1,2519,13,25754.0,1,10,11990,94,10822,0,7070000.0,655,8140
0,0,2519,14,11001.0,1,10,12414,123,11209,0,220000.0,655,163
0,0,2519,14,11001.0,3,7310,12803,97,11622,0,1900000.0,655,5444
0,1,2519,13,25286.0,0,9820,12585,45,11394,0,11720000.0,655,7263
0,1,2519,25,66001.0,3,9512,10451,19,9937,0,1200000.0,655,8201
0,0,2519,14,11001.0,3,8699,12895,144,11743,0,2520000.0,655,7202
0,1,2519,2,81794.0,1,10,11226,23,10399,0,3620000.0,655,5470
0,0,2519,2,81794.0,3,9820,11890,22,11298,0,0.0,655,3322
0,0,2519,14,11001.0,1,10,12362,73,10990,0,7190000.0,655,2645
0,1,2519,14,11001.0,1,10,12933,157,11747,0,3069677.0,655,7691
0,0,2519,8,85001.0,2,9820,8706,3,9424,0,0.0,655,8002
0,1,2519,14,11001.0,1,10,12317,268,11121,0,130000.0,655,1196
0,1,2519,25,66001.0,1,10,12571,94,11331,0,3840000.0,655,5470
0,0,2519,14,11001.0,1,10,11998,194,10773,0,160000.0,655,1939
0,0,2519,14,11001.0,3,6202,12566,108,11453,0,2350000.0,655,163
0,1,2519,14,11001.0,3,4610,12860,60,11538,0,23200000.0,655,6858
0,0,2519,13,25175.0,1,10,13104,124,11966,0,4000000.0,655,5470
0,0,2519,28,73001.0,1,10,11060,71,9440,0,1360000.0,655,7846
0,1,2519,14,11001.0,3,81,11157,24,10630,0,9500000.0,655,112
0,0,2519,13,25377.0,3,7490,12644,42,11529,0,8100000.0,655,3161
0,0,2519,14,11001.0,1,10,12452,74,11377,0,8900000.0,655,5470
0,0,2519,14,11001.0,1,10,12954,72,11796,0,6828000.0,655,5470
0,1,2519,14,11001.0,3,4723,12212,73,11008,0,8470000.0,655,6001
0,0,2519,14,11001.0,3,81,12114,146,10261,0,12700000.0,655,3708
0,1,2519,14,11001.0,1,10,11713,80,8044,0,8490000.0,655,853
0,1,2519,14,11001.0,2,9820,12397,71,11103,0,11800000.0,655,5470
0,0,2519,28,73001.0,2,9820,11480,50,10416,0,300000.0,655,7350
0,1,2519,28,73001.0,3,7020,12299,32,11238,0,600000.0,655,6635
0,0,2519,14,11001.0,3,4774,11771,145,10495,0,940000.0,655,3161
0,0,2519,1,5001.0,3,9411,11517,48,10534,0,520000.0,655,5470
0,1,2519,14,11001.0,1,10,12138,86,9339,0,16780000.0,655,8002
0,1,2519,14,11001.0,3,8415,11832,97,10583,0,970000.0,655,2782
0,1,2519,8,85001.0,3,2410,11914,10,10695,0,10160000.0,655,2987
0,0,2519,1,5001.0,3,9700,5507,34,5217,0,0.0,655,175
0,1,2519,1,5001.0,1,10,13362,84,12151,0,3300000.0,655,5470
0,1,2519,29,76001.0,3,90,10687,42,9626,0,670000.0,655,7528
0,1,2519,3,8001.0,1,10,12510,179,10641,0,4490000.0,655,8002
0,0,2519,1,5266.0,3,8299,13401,76,12213,0,0.0,655,5362
0,1,2519,1,5001.0,3,8299,10597,114,9660,0,1330000.0,655,7705
0,1,2519,24,63401.0,3,4512,11686,29,10497,0,8300000.0,655,8002
0,0,2519,1,5031.0,3,4642,11451,26,10333,0,6910000.0,655,5470
0,1,2519,14,11001.0,3,8110,12494,61,11322,0,10000000.0,655,5470
0,1,2519,29,76001.0,1,10,11728,57,10717,0,1700000.0,655,8002
0,0,2519,14,11001.0,3,8110,12478,64,11282,0,0.0,655,8002
0,0,2519,14,11001.0,3,9602,12301,80,11264,0,650000.0,655,5470
0,0,2519,14,11001.0,3,141,12965,64,11791,0,22374473.85,655,7537
0,1,2519,14,11001.0,3,7010,12678,15,11576,0,14000000.0,655,4131
0,0,2519,14,11001.0,3,6611,11745,64,10158,0,4020000.0,655,386
0,0,2519,14,11001.0,3,8699,9528,55,8582,0,150000.0,655,175
0,0,2519,14,11001.0,1,10,13129,58,11924,0,18000000.0,655,853
0,1,2519,13,25473.0,1,10,13074,91,11886,0,8320000.0,655,5470
0,0,2519,14,11001.0,2,9820,11335,46,10055,0,570000.0,655,386
0,1,2519,20,50001.0,1,10,12338,198,10928,0,1240000.0,655,8002
0,0,2519,14,11001.0,1,10,11674,104,10504,0,100000.0,655,786
0,1,2519,14,11001.0,1,10,12679,173,11485,0,2400000.0,655,8002
0,0,2519,14,11001.0,1,10,12935,105,11734,0,3740000.0,655,2683
0,0,2519,14,11001.0,7,10,12484,34,10675,0,3600000.0,655,6540
0,1,2519,14,11001.0,1,10,12753,174,11580,0,1660000.0,655,2645
0,1,2519,14,11001.0,5,9820,11236,71,9867,0,1250000.0,655,55
0,1,2519,14,11001.0,3,3110,13044,104,11787,0,4000000.0,655,400
0,1,2519,14,11001.0,1,10,13127,149,11938,0,42370000.0,655,5470
0,1,2519,29,76001.0,1,10,12647,55,11509,0,9250000.0,655,2645
0,0,2519,14,11001.0,1,10,11969,139,10560,0,4685000.0,655,853
0,0,2519,14,11001.0,3,210,12518,116,11350,0,1180000.0,655,4790
0,0,2519,1,5266.0,1,10,12862,160,11678,0,14742541.0,655,6001
0,0,2519,14,11001.0,2,9820,11985,124,10801,0,300000.0,655,4352
0,0,2519,14,11001.0,3,7020,12694,157,11495,0,420000.0,655,7095
0,0,2519,14,11001.0,1,10,12838,32,11631,0,16000000.0,655,5470
0,0,2519,13,25126.0,1,10,12798,144,11687,0,2230000.0,655,6001
0,1,2519,25,66682.0,1,10,11588,137,10387,0,30000.0,655,5470
0,0,2519,5,15001.0,1,10,12127,117,10839,0,120000.0,655,853
0,1,2519,14,11001.0,3,8299,12930,32,11675,0,63836150.0,655,4747
0,0,2519,14,11001.0,3,8621,11978,130,10853,0,600000.0,655,6001
0,0,2519,14,11001.0,1,10,10801,68,9553,0,2900000.0,655,63
0,0,2519,13,25175.0,3,7010,9250,59,8075,0,40000.0,655,163
0,0,2519,14,11001.0,2,9820,11911,61,10544,0,2888640.0,655,1058
0,0,2519,5,15238.0,3,82,12197,36,11092,0,5660000.0,655,3241
0,0,2519,14,11001.0,2,9820,11490,113,10477,0,880000.0,655,5069
0,1,2519,29,76364.0,1,10,12802,92,11555,0,2744795.0,655,7524
0,1,2519,14,11001.0,1,10,13253,200,12068,0,300000.0,655,5470
0,1,2519,1,5001.0,1,10,13041,328,11855,0,360000.0,655,8002
0,1,2519,14,11001.0,7,10,12115,122,10870,0,170000.0,655,5470
0,1,2519,14,11001.0,3,8699,12883,115,11708,0,420000.0,655,163
0,1,2519,14,11001.0,3,8699,12932,82,11757,0,0.0,655,7202
0,1,2519,25,66001.0,3,5511,13293,294,12083,0,8500000.0,655,3237
0,0,2519,13,25126.0,3,90,13216,58,12025,0,1900000.0,655,7528
0,0,2519,14,11001.0,1,10,12413,145,11222,0,440000.0,655,3241
0,0,2519,14,11001.0,3,7310,12807,86,11703,0,370000.0,655,5470
0,0,2519,14,11001.0,3,8622,12348,70,11152,0,2800000.0,655,7846
0,0,2519,13,25769.0,1,10,12774,18,11849,0,26050000.0,655,7524
0,1,2519,14,11001.0,3,4791,11850,103,10818,0,2900000.0,655,1406
0,0,2519,17,41001.0,3,6810,12365,60,11503,0,18952150.0,655,822
0,0,2519,13,25175.0,1,10,12812,143,11414,0,5600000.0,655,5470
0,1,2519,14,11001.0,1,10,12855,115,11632,0,7319000.0,655,8002
0,0,2519,14,11001.0,1,10,12663,84,11465,0,3670000.0,655,3314
0,0,2519,14,11001.0,3,3514,11865,78,10817,0,3057000.0,655,7585
0,0,2519,14,11001.0,3,4773,12489,93,11327,0,0.0,655,5470
0,0,2519,14,11001.0,1,10,12316,82,11198,0,11430000.0,655,5470
0,0,2519,14,11001.0,1,10,12418,128,11324,0,0.0,655,853
0,1,2519,14,11001.0,3,5611,12605,244,11352,0,1000000.0,655,3241
0,1,2519,3,8001.0,3,4923,12063,82,10430,0,0.0,655,8002
0,1,2519,14,11001.0,3,2013,12650,133,11449,0,5865000.0,655,2884
0,1,2519,14,11001.0,3,90,12533,130,11434,0,120000.0,655,2648
0,0,2519,26,68276.0,7,10,8607,12,7523,0,400000.0,655,7524
0,1,2519,6,17042.0,1,10,13386,80,12116,0,14036000.0,655,7524
0,1,2519,1,5001.0,5,9820,12674,83,11505,0,2222480.0,655,5470
0,1,2519,14,11001.0,1,10,12627,109,11441,0,16551000.0,655,6001
0,1,2519,14,11001.0,1,10,13218,129,11974,0,6000000.0,655,8002
0,0,2519,14,11001.0,1,10,13029,137,11807,0,1010000.0,655,6001
0,1,2519,2,81001.0,1,10,11840,88,10532,0,1280000.0,655,5470
0,1,2519,6,17001.0,3,4652,13025,41,11735,0,10974650.0,655,4423
0,1,2519,25,66170.0,5,9820,11690,75,10486,0,3000000.0,655,853
0,1,2519,25,66001.0,5,9820,11195,26,10222,0,220000.0,655,4871
0,0,2519,14,11001.0,1,10,12991,93,11830,0,9990000.0,655,5470
0,1,2519,6,17001.0,3,8299,12654,68,11323,0,500000.0,655,8002
0,1,2519,14,11001.0,1,10,12542,29,11297,0,20240000.0,655,6001
0,0,2519,14,11001.0,3,4530,12909,70,11705,0,19050000.0,655,2256
0,0,2519,14,11001.0,3,8692,12793,42,11619,0,11140000.0,655,8002
0,0,2519,14,11001.0,3,9602,10146,108,8616,0,450000.0,655,3066
0,1,2519,29,76890.0,3,4711,12878,21,11633,0,5300000.0,655,8383
0,0,2519,14,11001.0,1,10,12811,76,11720,0,11270000.0,655,5470
0,1,2519,13,25754.0,3,6619,12449,67,11256,0,12000000.0,655,7076
0,0,2519,20,50001.0,3,4759,11383,43,10308,0,6745000.0,655,7637
0,1,2519,6,17541.0,1,10,12491,42,11265,0,22575000.0,655,5470
0,0,2519,13,25214.0,3,8553,12189,44,11019,0,9500000.0,655,5470
0,1,2519,14,0.0,5,9820,12277,34,11055,0,11300000.0,655,4292
0,0,2519,14,11001.0,2,9820,12409,16,11646,0,15005000.0,655,7350
0,0,2519,14,11001.0,2,9820,12617,25,11661,0,18000000.0,655,7737
0,0,2519,1,5129.0,3,9820,10203,49,7256,0,1720000.0,655,3315
0,1,2519,1,5129.0,1,10,12325,24,10971,0,24621684.22,655,5470
0,0,2519,1,5001.0,1,10,13032,175,11839,0,6650000.0,655,8002
0,1,2519,22,54001.0,3,9523,12984,171,11776,0,18562000.0,655,8002
0,0,2519,14,11001.0,3,4752,12971,73,11786,0,8500000.0,655,6960
0,1,2519,8,85001.0,1,10,11747,23,10684,0,4360000.0,655,7524
0,0,2519,14,11001.0,1,10,13152,142,11945,0,1620000.0,655,5470
0,0,2519,14,11001.0,1,10,12898,270,11758,0,820000.0,655,6018
0,0,2519,14,11001.0,1,10,12215,177,10762,0,4990000.0,655,853
0,1,2519,14,11001.0,1,10,13092,157,11887,0,340000.0,655,7865
0,0,2519,14,11001.0,3,90,13242,118,12046,0,300000.0,655,3241
0,1,2519,29,76520.0,1,10,12258,63,10967,0,120000.0,655,7524
0,0,2519,13,25175.0,1,10,12579,240,11387,0,1955700.0,655,1357
0,0,2519,14,11001.0,3,5611,13165,61,11919,0,100490000.0,655,7705
0,1,2519,6,17001.0,3,5611,12834,24,10900,0,49500000.0,655,7632
0,1,2519,25,66170.0,3,7020,10998,65,8956,0,1350000.0,655,5470
0,1,2519,29,76520.0,3,90,12028,15,10667,0,18800000.0,655,7528
0,1,2519,6,17873.0,3,90,12682,76,11364,0,5000000.0,655,7528
0,1,2519,25,66001.0,1,10,12607,62,11372,0,3500000.0,655,6001
0,0,2519,13,25473.0,3,6920,12099,73,11066,0,10600000.0,655,7087
0,1,2519,13,25899.0,1,10,12728,101,11471,0,12300000.0,655,7524
0,0,2519,14,11001.0,3,1709,10814,48,7106,0,2200000.0,655,94
0,0,2519,28,73001.0,3,8299,12421,21,11487,0,9870000.0,655,6001
0,0,2519,14,11001.0,1,10,12442,17,10896,0,21900000.0,655,6001
0,0,2519,14,11001.0,1,10,13174,113,12026,0,45930000.0,655,5470
0,1,2519,14,11001.0,1,10,12555,73,11454,0,12820000.0,655,3392
0,1,2519,13,25817.0,3,9602,12290,154,11036,0,3125000.0,655,5470
0,1,2519,29,76001.0,1,10,13210,237,12019,0,2990000.0,655,5470
0,0,2519,14,11001.0,3,1090,12567,158,11319,0,6262000.0,655,3161
0,1,2519,14,11001.0,3,9521,12436,78,11269,0,5180000.0,655,175
0,0,2519,13,25754.0,3,90,10395,12,3358,0,7719000.0,655,342
